snapshotId,snapshotAt,season,date,market,player,playerId,team,opponent,pitcher,line,americanOdds,sportsbook,propKey,rawSource
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Bo Bichette (NYM),,,,,1.5,-135,Bovada,2026-05-04T21:41:00Z|batter_total_bases|bo bichette (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Bo Bichette (NYM),,,,,1.5,105,Bovada,2026-05-04T21:41:00Z|batter_total_bases|bo bichette (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Brett Baty (NYM),,,,,1.5,-105,Bovada,2026-05-04T21:41:00Z|batter_total_bases|brett baty (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Brett Baty (NYM),,,,,1.5,-125,Bovada,2026-05-04T21:41:00Z|batter_total_bases|brett baty (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Carson Benge (NYM),,,,,1.5,110,Bovada,2026-05-04T21:41:00Z|batter_total_bases|carson benge (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Carson Benge (NYM),,,,,1.5,-145,Bovada,2026-05-04T21:41:00Z|batter_total_bases|carson benge (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Francisco Alvarez (NYM),,,,,1.5,-115,Bovada,2026-05-04T21:41:00Z|batter_total_bases|francisco alvarez (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Francisco Alvarez (NYM),,,,,1.5,-115,Bovada,2026-05-04T21:41:00Z|batter_total_bases|francisco alvarez (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Juan Soto (NYM),,,,,1.5,-115,Bovada,2026-05-04T21:41:00Z|batter_total_bases|juan soto (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
20260504T042852Z,2026-05-04T04:28:52.798836+00:00,2026,2026-05-04T21:41:00Z,batter_total_bases,Juan Soto (NYM),,,,,1.5,-115,Bovada,2026-05-04T21:41:00Z|batter_total_bases|juan soto (nym)|||,http://127.0.0.1:8766/api/propline/props?markets=pitcher_strikeouts%2Cbatter_hits%2Cbatter_total_bases%2Cbatter_home_runs%2Cpitcher_hits_allowed%2Cpitcher_earned_runs&date=2026-05-03
