season,seasonPhase,date,gamePk,venue,home,away,roof,temperatureF,feelsLikeF,humidity,precipitationProbability,windMph,windDirection,windOutScore,windOutFlag,windSpeedScore,windScore,temperatureScore,humidityScore,rainScore,coldGameFlag,turfFlag,hrWeatherAdjustment,totalBasesWeatherAdjustment,hitsWeatherAdjustment,pitcherStrikeoutsWeatherAdjustment,pitcherHitsAllowedWeatherAdjustment,pitcherEarnedRunsWeatherAdjustment,weatherConfidence,weatherSummary
2026,regular,2026-03-28,822838,Rogers Centre,TOR,ATH,retractable,33.1,24.3,47,,7.3,269,1.0,1,0.487,0.487,-1,-0.06,0,1,1,-0.0002,-0.0006,-0.0005,-0.001,-0.0003,-0.0006,Medium,cold temperature suppresses carry; wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-28,824862,Oriole Park at Camden Yards,BAL,MIN,open,41.9,36.1,54,,2.8,299,1.0,1,0.187,0.187,-1,0.08,0,1,0,-0.006,-0.0046,-0.0029,-0.0007,-0.0027,-0.0035,Medium,cold temperature suppresses carry
2026,regular,2026-03-28,824540,Great American Ball Park,CIN,BOS,open,43.7,38.8,59,,2.0,63,-0.4,0,0.133,-0.053,-1,0.18,0,1,0,-0.0105,-0.0073,-0.0043,0.0,-0.0044,-0.0054,Medium,cold temperature suppresses carry
2026,regular,2026-03-28,823651,Citi Field,NYM,PIT,open,37.9,30.2,43,,5.2,337,-0.4,0,0.347,-0.139,-1,-0.14,0,1,0,-0.0132,-0.0089,-0.0048,0.0,-0.005,-0.0061,Medium,cold temperature suppresses carry
2026,regular,2026-03-28,823892,loanDepot park,MIA,COL,retractable,77.3,79.5,67,,8.3,63,-1.0,0,0.553,-0.553,0.365,0.34,0,0,1,-0.0032,-0.0017,-0.0009,-0.0005,-0.0012,-0.0013,Medium,wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-28,824213,Minute Maid Park,HOU,LAA,retractable,67.1,64.6,52,,5.4,52,-1.0,0,0.36,-0.36,-0.145,0.04,0,0,1,-0.0043,-0.0026,-0.0014,0.0,-0.0016,-0.0018,Medium,retractable roof uncertainty halves adjustment
2026,regular,2026-03-28,823811,American Family Field,MIL,CHW,retractable,39.7,30.4,55,,10.5,215,1.0,1,0.7,0.7,-1,0.1,0,1,1,0.0021,0.0008,0.0001,-0.0014,0.0004,0.0003,Medium,cold temperature suppresses carry; wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-28,824945,Truist Park,ATL,KCR,open,55.5,46.2,31,,10.7,116,0.4,1,0.713,0.285,-0.725,-0.38,0,0,0,-0.0027,-0.0024,-0.0012,-0.0011,-0.0009,-0.0013,Medium,Weather mostly neutral.
2026,regular,2026-03-28,823241,Oracle Park,SFG,NYY,open,56.8,55.1,75,,3.2,157,0.0,0,0.213,0.0,-0.66,0.5,0,0,0,-0.0051,-0.0036,-0.0026,0.0,-0.0026,-0.0033,Medium,Weather mostly neutral.
2026,regular,2026-03-28,823323,Petco Park,SDP,DET,open,62.9,64.1,83,,3.0,340,-1.0,0,0.2,-0.2,-0.355,0.66,0,0,0,-0.0056,-0.0036,-0.0026,0.0,-0.0028,-0.0034,Medium,Weather mostly neutral.
2026,regular,2026-03-28,823973,Dodger Stadium,LAD,ARI,open,59.3,60.8,88,,1.0,229,1.0,1,0.067,0.067,-0.535,0.76,0,0,0,-0.0017,-0.0014,-0.0017,-0.0003,-0.0017,-0.0021,Medium,Weather mostly neutral.
2026,regular,2026-03-28,823161,T-Mobile Park,SEA,CLE,retractable,45.8,41.1,77,,4.9,30,-1.0,0,0.327,-0.327,-1,0.54,0,1,1,-0.0075,-0.0049,-0.003,0.0,-0.0031,-0.0038,Medium,cold temperature suppresses carry; retractable roof uncertainty halves adjustment
2026,regular,2026-03-29,824864,Oriole Park at Camden Yards,BAL,MIN,open,59.0,50.3,30,,10.2,188,0.4,1,0.68,0.272,-0.55,-0.4,0,0,0,-0.0013,-0.0014,-0.0006,-0.0011,-0.0003,-0.0006,Medium,Weather mostly neutral.
2026,regular,2026-03-29,823487,Citizens Bank Park,PHI,TEX,open,55.7,46.2,34,,12.0,206,1.0,1,0.8,0.8,-0.715,-0.32,0,0,0,0.0079,0.004,0.0019,-0.0032,0.0027,0.0028,Medium,wind appears hitter-friendly
2026,regular,2026-03-29,824944,Truist Park,ATL,KCR,open,63.5,57.8,50,,10.1,147,1.0,1,0.673,0.673,-0.325,0.0,0,0,0,0.0102,0.0058,0.0027,-0.0027,0.0034,0.0038,Medium,wind appears hitter-friendly
2026,regular,2026-03-29,822837,Rogers Centre,TOR,ATH,retractable,46.0,38.7,63,,9.0,185,1.0,1,0.6,0.6,-1,0.26,0,1,1,0.0014,0.0004,-0.0002,-0.0012,0.0001,-0.0001,Medium,cold temperature suppresses carry; wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-29,823647,Citi Field,NYM,PIT,open,46.6,38.2,56,,10.6,178,0.4,1,0.707,0.283,-1,0.12,0,1,0,-0.004,-0.0034,-0.0023,-0.0011,-0.002,-0.0027,Medium,cold temperature suppresses carry
2026,regular,2026-03-29,823891,loanDepot park,MIA,COL,retractable,74.0,75.4,76,,10.8,63,-1.0,0,0.72,-0.72,0.2,0.52,0.016,0,1,-0.0055,-0.0031,-0.0018,-0.0003,-0.0021,-0.0024,Medium,wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-29,824215,Minute Maid Park,HOU,LAA,retractable,77.7,76.4,51,,9.6,145,0.4,1,0.64,0.256,0.385,0.02,0,0,1,0.0045,0.0029,0.0015,-0.0011,0.0017,0.002,Medium,retractable roof uncertainty halves adjustment
2026,regular,2026-03-29,823810,American Family Field,MIL,CHW,retractable,57.0,50.5,45,,7.8,179,1.0,1,0.52,0.52,-0.65,-0.1,0,0,1,0.0018,0.0007,0.0003,-0.001,0.0005,0.0005,Medium,wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-29,823079,Busch Stadium,STL,TBR,open,67.2,62.4,44,,7.8,172,1.0,1,0.52,0.52,-0.14,-0.12,0,0,0,0.0086,0.005,0.0026,-0.0021,0.0031,0.0035,Medium,wind appears hitter-friendly
2026,regular,2026-03-29,824700,Wrigley Field,CHC,WSN,open,58.5,50.6,38,,10.0,193,1.0,1,0.667,0.667,-0.575,-0.24,0,0,0,0.0069,0.0035,0.0017,-0.0027,0.0024,0.0025,Medium,wind appears hitter-friendly
2026,regular,2026-03-29,823160,T-Mobile Park,SEA,CLE,retractable,40.5,35.5,84,,4.5,342,-1.0,0,0.3,-0.3,-1,0.68,0,1,1,-0.007,-0.0046,-0.0029,0.0,-0.003,-0.0037,Medium,cold temperature suppresses carry; retractable roof uncertainty halves adjustment
2026,regular,2026-03-30,824135,Kauffman Stadium,KCR,MIN,open,78.3,74.7,50,,15.0,197,0.4,1,1,0.4,0.415,0.0,0,0,0,0.0121,0.0077,0.0041,-0.0028,0.0045,0.0053,Medium,warm temperature favors carry; wind appears hitter-friendly
2026,regular,2026-03-30,824863,Oriole Park at Camden Yards,BAL,TEX,open,63.8,59.8,67,,11.4,228,1.0,1,0.76,0.76,-0.31,0.34,0,0,0,0.0131,0.0076,0.0033,-0.003,0.0041,0.0045,Medium,wind appears hitter-friendly
2026,regular,2026-03-30,824539,Great American Ball Park,CIN,PIT,open,67.6,64.2,68,,12.8,203,1.0,1,0.853,0.853,-0.12,0.36,0,0,0,0.0169,0.0101,0.0046,-0.0034,0.0055,0.0062,Medium,wind appears hitter-friendly
2026,regular,2026-03-30,823890,loanDepot park,MIA,CHW,retractable,73.6,74.4,78,,12.6,86,-1.0,0,0.84,-0.84,0.18,0.56,0.016,0,1,-0.0067,-0.0039,-0.0022,-0.0003,-0.0026,-0.0029,Medium,wind appears pitcher-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-30,822834,Rogers Centre,TOR,COL,retractable,52.3,49.0,90,,7.7,209,1.0,1,0.513,0.513,-0.885,0.8,0.14,0,1,0.0016,0.0006,-0.0004,-0.001,-0.0001,-0.0003,Medium,cold temperature suppresses carry; wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-30,824943,Truist Park,ATL,ATH,open,64.1,63.2,73,,6.2,136,1.0,1,0.413,0.413,-0.295,0.46,0,0,0,0.0067,0.0038,0.0013,-0.0017,0.0017,0.0018,Medium,wind appears hitter-friendly
2026,regular,2026-03-30,824702,Wrigley Field,CHC,LAA,open,63.9,61.5,82,,12.2,204,1.0,1,0.813,0.813,-0.305,0.64,0.408,0,0,0.0131,0.0077,0.0028,-0.0033,0.0037,0.0042,Medium,wind appears hitter-friendly; rain/precipitation risk lowers confidence
2026,regular,2026-03-30,823809,American Family Field,MIL,TBR,retractable,66.6,61.1,68,,17.0,213,1.0,1,1,1.0,-0.17,0.36,0,0,1,0.0097,0.0058,0.0027,-0.002,0.0032,0.0036,Medium,wind appears hitter-friendly; retractable roof uncertainty halves adjustment
2026,regular,2026-03-30,823080,Busch Stadium,STL,NYM,open,70.0,65.8,57,,12.9,192,1.0,1,0.86,0.86,0.0,0.14,0,0,0,0.0176,0.0106,0.0052,-0.0034,0.006,0.0069,Medium,wind appears hitter-friendly
2026,regular,2026-03-30,824214,Minute Maid Park,HOU,BOS,retractable,68.4,70.3,83,,6.2,147,0.4,1,0.413,0.165,-0.08,0.66,0,0,1,0.0022,0.0014,0.0003,-0.0003,0.0004,0.0005,Medium,retractable roof uncertainty halves adjustment
2026,regular,2026-03-30,823320,Petco Park,SDP,SFG,open,61.0,63.2,88,,0.4,214,0.0,0,0.027,0.0,-0.45,0.76,0,0,0,-0.0022,-0.0016,-0.0018,0.0,-0.0018,-0.0023,Medium,Weather mostly neutral.
2026,regular,2026-03-30,825108,Chase Field,ARI,DET,retractable,79.8,75.7,25,,4.1,334,-1.0,0,0.273,-0.273,0.49,-0.5,0,0,1,-0.001,-0.0004,0.0002,-0.0007,0.0,0.0001,Medium,warm temperature favors carry; retractable roof uncertainty halves adjustment
2026,regular,2026-03-30,823972,Dodger Stadium,LAD,CLE,open,57.9,58.6,90,,2.1,141,0.4,1,0.14,0.056,-0.605,0.8,0,0,0,-0.0025,-0.002,-0.0021,-0.0002,-0.002,-0.0026,Medium,Weather mostly neutral.
2026,regular,2026-03-31,824861,Oriole Park at Camden Yards,BAL,TEX,open,76.1,72.3,46,,11.7,217,0.4,1,0.78,0.312,0.305,-0.08,0,0,0,0.009,0.0057,0.0031,-0.0022,0.0034,0.004,Medium,Weather mostly neutral.
2026,regular,2026-03-31,824537,Great American Ball Park,CIN,PIT,open,72.5,68.5,51,,12.1,220,1.0,1,0.807,0.807,0.125,0.02,0,0,0,0.0174,0.0106,0.0053,-0.0036,0.0061,0.0071,Medium,wind appears hitter-friendly
2026,regular,2026-03-31,823485,Citizens Bank Park,PHI,WSN,open,72.3,68.4,55,,13.1,212,1.0,1,0.873,0.873,0.115,0.1,0,0,0,0.0189,0.0115,0.0057,-0.0038,0.0066,0.0076,Medium,wind appears hitter-friendly
