season,seasonPhase,date,gamePk,gameDate,venue,home,away,latitude,longitude,roof,weatherSource,matchedHour,temperatureF,feelsLikeF,humidity,precipitationProbability,precipitation,windMph,windDirection,windGustMph,pressureMsl,cloudCover,parkSurface,updatedAt
2026,regular,2026-03-28,824540,2026-03-28T20:10:00Z,Great American Ball Park,CIN,BOS,39.0979,-84.5081,open,open_meteo_archive,2026-03-28T20:00,43.7,38.8,59,,,2.0,63,4.5,1032.7,,grass,2026-05-07T07:56:15.718023+00:00
2026,regular,2026-03-28,823651,2026-03-28T20:10:00Z,Citi Field,NYM,PIT,40.7571,-73.8458,open,open_meteo_archive,2026-03-28T20:00,37.9,30.2,43,,,5.2,337,13.9,1031.4,9,grass,2026-05-07T07:56:16.586269+00:00
2026,regular,2026-03-28,823892,2026-03-28T20:10:00Z,loanDepot park,MIA,COL,25.7781,-80.2197,retractable,open_meteo_archive,2026-03-28T20:00,77.3,79.5,67,,,8.3,63,17.9,1019.5,20,turf,2026-05-07T07:56:17.260516+00:00
2026,regular,2026-03-28,824213,2026-03-28T23:10:00Z,Minute Maid Park,HOU,LAA,29.7573,-95.3555,retractable,open_meteo_archive,2026-03-28T23:00,67.1,64.6,52,,,5.4,52,13.4,1025.7,,turf,2026-05-07T07:56:18.019655+00:00
2026,regular,2026-03-28,823811,2026-03-28T23:10:00Z,American Family Field,MIL,CHW,43.028,-87.9712,retractable,open_meteo_archive,2026-03-28T23:00,39.7,30.4,55,,,10.5,215,21.0,1026.1,100,turf,2026-05-07T07:56:18.676000+00:00
2026,regular,2026-03-28,824945,2026-03-28T23:15:00Z,Truist Park,ATL,KCR,33.8907,-84.4677,open,open_meteo_archive,2026-03-28T23:00,55.5,46.2,31,,,10.7,116,21.0,1030.6,,grass,2026-05-07T07:56:19.324490+00:00
2026,regular,2026-03-28,823241,2026-03-28T23:15:00Z,Oracle Park,SFG,NYY,37.7786,-122.3893,open,open_meteo_archive,2026-03-28T23:00,56.8,55.1,75,,,3.2,157,7.2,1015.4,2,grass,2026-05-07T07:56:19.979910+00:00
2026,regular,2026-03-28,823323,2026-03-29T00:40:00Z,Petco Park,SDP,DET,32.7073,-117.1566,open,open_meteo_archive,2026-03-28T00:00,62.9,64.1,83,,,3.0,340,7.2,1015.3,100,grass,2026-05-07T07:56:20.646438+00:00
2026,regular,2026-03-28,823973,2026-03-29T01:10:00Z,Dodger Stadium,LAD,ARI,34.0739,-118.24,open,open_meteo_archive,2026-03-28T01:00,59.3,60.8,88,,,1.0,229,3.8,1015.4,,grass,2026-05-07T07:56:21.301718+00:00
2026,regular,2026-03-28,823161,2026-03-29T01:40:00Z,T-Mobile Park,SEA,CLE,47.5914,-122.3325,retractable,open_meteo_archive,2026-03-28T01:00,45.8,41.1,77,,,4.9,30,11.0,1020.4,100,turf,2026-05-07T07:56:21.948210+00:00
2026,regular,2026-03-29,824864,2026-03-29T17:35:00Z,Oriole Park at Camden Yards,BAL,MIN,39.284,-76.6217,open,open_meteo_archive,2026-03-29T17:00,59.0,50.3,30,,,10.2,188,25.3,1028.9,21,grass,2026-05-07T07:56:22.622046+00:00
2026,regular,2026-03-29,823487,2026-03-29T17:35:00Z,Citizens Bank Park,PHI,TEX,39.9061,-75.1665,open,open_meteo_archive,2026-03-29T17:00,55.7,46.2,34,,,12.0,206,27.7,1029.7,89,grass,2026-05-07T07:56:23.278607+00:00
2026,regular,2026-03-29,824944,2026-03-29T17:35:00Z,Truist Park,ATL,KCR,33.8907,-84.4677,open,open_meteo_archive,2026-03-29T17:00,63.5,57.8,50,,,10.1,147,23.7,1029.3,30,grass,2026-05-07T07:56:23.903572+00:00
2026,regular,2026-03-29,822837,2026-03-29T17:37:00Z,Rogers Centre,TOR,ATH,43.6414,-79.3894,retractable,open_meteo_archive,2026-03-29T17:00,46.0,38.7,63,,,9.0,185,18.3,1023.7,100,turf,2026-05-07T07:56:24.555396+00:00
2026,regular,2026-03-29,823647,2026-03-29T17:40:00Z,Citi Field,NYM,PIT,40.7571,-73.8458,open,open_meteo_archive,2026-03-29T17:00,46.6,38.2,56,,,10.6,178,27.7,1030.3,60,grass,2026-05-07T07:57:00.406611+00:00
2026,regular,2026-03-29,823891,2026-03-29T17:40:00Z,loanDepot park,MIA,COL,25.7781,-80.2197,retractable,open_meteo_archive,2026-03-29T17:00,74.0,75.4,76,,0.004,10.8,63,27.7,1022.8,89,turf,2026-05-07T07:57:01.057020+00:00
2026,regular,2026-03-29,824215,2026-03-29T18:10:00Z,Minute Maid Park,HOU,LAA,29.7573,-95.3555,retractable,open_meteo_archive,2026-03-29T18:00,77.7,76.4,51,,,9.6,145,25.3,1020.6,8,turf,2026-05-07T07:57:01.710942+00:00
2026,regular,2026-03-29,823810,2026-03-29T18:10:00Z,American Family Field,MIL,CHW,43.028,-87.9712,retractable,open_meteo_archive,2026-03-29T18:00,57.0,50.5,45,,,7.8,179,15.4,1015.6,100,turf,2026-05-07T07:57:02.365960+00:00
2026,regular,2026-03-29,823079,2026-03-29T18:15:00Z,Busch Stadium,STL,TBR,38.6226,-90.1928,open,open_meteo_archive,2026-03-29T18:00,67.2,62.4,44,,,7.8,172,20.4,1017.2,87,grass,2026-05-07T07:57:03.025849+00:00
2026,regular,2026-03-29,824700,2026-03-29T18:20:00Z,Wrigley Field,CHC,WSN,41.9484,-87.6553,open,open_meteo_archive,2026-03-29T18:00,58.5,50.6,38,,,10.0,193,19.2,1017.2,100,grass,2026-05-07T07:57:03.691709+00:00
2026,regular,2026-03-29,823160,2026-03-29T23:20:00Z,T-Mobile Park,SEA,CLE,47.5914,-122.3325,retractable,open_meteo_archive,2026-03-29T23:00,40.5,35.5,84,,,4.5,342,11.6,1021.7,87,turf,2026-05-07T07:57:04.363075+00:00
