date,player,market,line,american_odds,actual,over,team,opponent,book,side,game,event_id,team_moneyline,opponent_moneyline,game_total,open_team_moneyline,close_team_moneyline,moneyline_move,open_game_total,close_game_total,total_move,moneyline_implied_probability,favorite_status,team_implied_runs,opponent_implied_runs,opponent_implied_runs_proxy,book_implied_probability,line_move,odds_move,vig_pct,recent_games,recent_rate,season_rate,rolling_avg_5,rolling_avg_10,rolling_avg_15,rolling_total_bases_10,rolling_hr_rate_15,rolling_k_rate_10,batter_babip,batter_k_rate,batter_walk_rate,batter_days_rest,batter_avg_home,batter_avg_away,barrel_rate,hard_hit_rate,xwoba,xba,xslg,batter_ld_rate,batter_gb_rate,batter_sprint_speed,batter_avg_vs_hand,batter_k_rate_vs_hand,batter_recent_hits_vs_lhp,batter_recent_hits_vs_rhp,pitcher_k_rate,pitcher_walk_rate,pitcher_hr_rate,pitcher_babip,pitcher_days_rest,pitcher_velo_delta,pitcher_avg_allowed_vs_hand,team_k_rate,team_walk_rate,opponent_rate,opponent_bullpen_era_7d,ump_k_rate,ump_zone_size_zscore,ump_favor_batter_score,park_factor,hit_factor,hr_factor,k_factor,temperature,wind_mph,wind_out_score,wind_out_flag,turf_flag,cold_game_flag,pitcher,throws,bats,venue,roof,platoon_matchup
2026-05-04,MJ Melendez,batter_hits,0.5,174.0,0.0,0,NYM,COL,,,,,,,,,,,,,,,,,,,0.365,0.0,313.0,,15.0,0.6,0.733,0.6,,0.733,1.0,0.133,0.7,0.45,35.71,7.14,1.0,0.333,0.273,13.64,63.64,0.403,0.328,0.575,22.73,36.36,26.9,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Kyle Karros,batter_hits,0.5,145.0,1.0,1,COL,NYM,,,,,,,,,,,,,,,,,,,0.4082,0.0,0.0,,34.0,0.8,0.618,1.2,,0.733,0.9,0.067,1.3,0.294,23.73,16.1,2.0,0.237,0.203,7.14,40.0,0.4,0.369,0.539,38.57,38.57,27.2,,,,,20.63,4.76,0.54,0.204,2.0,0.3,,,,,,,,,1.0,,,,,,,,,,Huascar Brazobán,,,,,
2026-05-04,Alec Bohm,batter_hits,0.5,191.0,0.0,0,PHI,MIA,,,,,,,,,,,,,,,,,,,0.3436,,,,33.0,0.7,0.576,0.6,,0.667,0.9,0.0,0.7,0.184,16.3,6.67,1.0,0.103,0.206,1.02,37.76,0.292,0.268,0.367,24.49,47.96,26.5,,,,,17.42,5.16,0.7,0.232,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Janson Junk,,,,,
2026-05-04,Riley Greene,batter_hits,0.5,131.0,1.0,1,DET,BOS,,,,,,,,,,,,,,,,,,,0.4329,,,,36.0,1.1,1.028,1.0,,1.267,1.8,0.2,1.6,0.398,27.52,14.09,1.0,0.382,0.219,14.12,49.41,0.498,0.405,0.756,22.35,42.35,27.0,,,,,34.33,8.96,0.51,0.14,6.0,-0.6,,,,,,,,,1.0,,,,,,,,,,Payton Tolle,,,,,
2026-05-04,TJ Friedl,batter_hits,0.5,169.0,0.0,0,CIN,CHC,,,,,,,,,,,,,,,,,,,0.3717,,,,33.0,1.0,0.727,1.0,,0.933,2.0,0.133,0.9,0.247,21.9,7.3,1.0,0.169,0.226,2.17,30.43,0.271,0.267,0.358,21.74,45.65,26.8,,,,,21.64,8.19,1.09,0.264,6.0,0.3,,,,,,,,,1.0,,,,,,,,,,Edward Cabrera,,,,,
2026-05-04,Masyn Winn,batter_hits,0.5,130.0,1.0,1,STL,MIL,,,,,,,,,,,,,,,,,,,0.4347999999999999,,,,30.0,1.1,1.033,1.4,,1.4,1.2,0.067,0.7,0.345,19.38,9.3,1.0,0.279,0.269,3.49,27.91,0.34,0.345,0.447,25.58,43.02,27.9,,,,,14.93,11.94,0.57,0.241,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,Chad Patrick,,,,,
2026-05-04,Jesús Sánchez,batter_hits,0.5,153.0,1.0,1,TOR,TBR,,,,,,,,,,,,,,,,,,,0.3953,0.0,362.0,,34.0,0.7,0.794,0.8,,0.733,1.1,0.133,0.5,0.274,16.95,4.24,1.0,0.283,0.218,8.05,50.57,0.394,0.356,0.581,24.14,45.98,25.8,,,,,16.67,5.95,0.64,0.219,6.0,-0.5,,,,,,,,,1.0,,,,72.0,,0.0,0.0,1.0,0.0,Nick Martinez,,,Tropicana Field,dome,
2026-05-04,Connor Norby,batter_hits,0.5,125.0,0.0,0,MIA,PHI,,,,,,,,,,,,,,,,,,,0.4443999999999999,,,,32.0,0.6,0.75,0.6,,0.6,1.1,0.067,1.2,0.333,30.25,10.08,1.0,0.222,0.25,10.61,37.88,0.367,0.315,0.562,18.18,40.91,28.0,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Nathan Church,batter_hits,0.5,128.0,1.0,1,STL,MIL,,,,,,,,,,,,,,,,,,,0.4386,,,,32.0,1.1,0.781,1.2,,1.067,2.3,0.267,0.7,0.278,22.22,3.7,1.0,0.302,0.188,12.0,34.67,0.383,0.332,0.59,20.0,49.33,28.4,,,,,14.93,11.94,0.57,0.241,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,Chad Patrick,,,,,
2026-05-04,Joe Mack,batter_hits,0.5,131.0,0.0,0,MIA,PHI,,,,,,,,,,,,,,,,,,,0.4329,,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,33.33,0.0,-1.0,0.0,0.0,,,,,,,,,,,,,24.84,8.07,1.45,0.304,8.0,0.2,,,,,,,,,1.0,,,,,,,,,,Aaron Nola,,,,,
2026-05-04,Kyle Schwarber,batter_hits,0.5,151.0,0.0,0,PHI,MIA,,,,,,,,,,,,,,,,,,,0.3984,,,,35.0,0.9,0.771,1.2,,0.8,2.2,0.333,1.1,0.239,31.41,16.03,1.0,0.277,0.145,20.0,49.33,0.524,0.368,0.835,20.0,32.0,25.7,,,,,17.42,5.16,0.7,0.232,6.0,0.1,,,,,,,,,1.0,,,,,,,,,,Janson Junk,,,,,
2026-05-04,Adley Rutschman,batter_hits,0.5,135.0,1.0,1,BAL,NYY,,,,,,,,,,,,,,,,,,,0.4255,,,,20.0,1.2,1.1,0.6,,1.2,2.4,0.267,0.5,0.295,13.58,6.17,1.0,0.4,0.167,6.56,44.26,0.334,0.279,0.466,26.23,37.7,26.6,,,,,29.28,4.97,0.19,0.244,6.0,1.2,,,,,,,,,1.0,,,,,,,,,,Cam Schlittler,,,,,
2026-05-04,Carson Benge,batter_hits,0.5,191.0,1.0,1,NYM,COL,,,,,,,,,,,,,,,,,,,0.3436,0.0,360.0,,32.0,0.8,0.594,0.6,,0.667,1.2,0.133,0.5,0.222,22.02,9.17,1.0,0.226,0.152,4.11,42.47,0.336,0.313,0.471,27.4,47.95,28.5,,,,,14.57,7.28,1.46,0.203,5.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tomoyuki Sugano,,,,,
2026-05-04,Trent Grisham,batter_hits,0.5,130.0,2.0,1,NYY,BAL,,,,,,,,,,,,,,,,,,,0.4347999999999999,,,,34.0,0.7,0.559,1.0,,0.667,1.7,0.2,0.5,0.173,16.54,17.29,1.0,0.226,0.127,14.12,51.76,0.379,0.297,0.598,18.82,37.65,26.8,,,,,18.75,9.09,0.91,0.295,6.0,-0.9,,,,,,,,,1.0,,,,,,,,,,Shane Baz,,,,,
2026-05-04,Colt Keith,batter_hits,0.5,124.0,1.0,1,DET,BOS,,,,,,,,,,,,,,,,,,,0.4464,,,,32.0,0.9,1.0,1.0,,0.933,0.9,0.0,0.6,0.4,19.63,4.67,1.0,0.325,0.311,6.41,51.28,0.41,0.376,0.584,23.08,48.72,28.2,,,,,34.33,8.96,0.51,0.14,6.0,-0.6,,,,,,,,,1.0,,,,,,,,,,Payton Tolle,,,,,
2026-05-04,Roman Anthony,batter_hits,0.5,141.0,0.0,0,BOS,DET,,,,,,,,,,,,,,,,,,,0.4149,,,,30.0,0.8,0.833,1.2,,0.867,1.0,0.0,1.0,0.32,25.38,15.38,1.0,0.235,0.224,9.33,48.0,0.421,0.377,0.592,28.0,48.0,27.4,,,,,27.11,3.61,0.42,0.277,6.0,-0.1,,,,,,,,,1.0,,,,,,,,,,Tarik Skubal,,,,,
