source,date,market,player,team,opponent,pitcher,line,americanOdds,modelProbabilityPercent,storedImpliedPercent,calculatedImpliedPercent,storedEdgePercent,calculatedEdgePercent,edgeDelta,actualStat,result,storedProfitUnits,calculatedProfitUnits,profitDelta,confidence,recommendation,mathStatus,warnings
playerboard_backtest,2026-05-08,pitcher_strikeouts,Example Starter,NYY,BOS,Example Starter,5.5,-115.0,51.4,53.49,53.4884,-2.09,-2.0884,-0.0016,,ungraded,0.0,0.0,0.0,Low,No clear edge,ok,
playerboard_backtest,2026-05-08,batter_home_runs,Aaron Judge,NYY,BOS,,0.5,390.0,16.26,20.41,20.4082,-4.14,-4.1482,0.0082,,ungraded,0.0,0.0,0.0,Low,Negative edge / avoid,ok,
playerboard_backtest,2026-05-08,batter_home_runs,Byron Buxton,MIN,NYY,,0.5,390.0,14.26,20.41,20.4082,-6.14,-6.1482,0.0082,,ungraded,0.0,0.0,0.0,Low,Negative edge / avoid,ok,
saved_predictions,2026-05-03,batter_total_bases,Aaron Judge,NYY,BAL,Trey Gibson,1.5,-110.0,56.52,52.38,52.381,4.14,4.139,0.001,5.0,win,0.9091,0.9091,0.0,Medium,Positive edge,ok,
saved_predictions,2026-05-04,batter_hits,Juan Soto,NYM,COL,Tomoyuki Sugano,0.5,2600.0,36.35,3.7,3.7037,32.65,32.6463,0.0037,0.0,loss,-1.0,-1.0,0.0,Medium,Positive edge,warning,extreme_non_hr_odds | suspicious_batter_hits_odds
