snapshotAt,gradedAt,season,date,market,player,team,opponent,pitcher,line,americanOdds,actualStat,result,profitUnits,finalProbabilityPercent,sportsbookImpliedPercent,finalEdgePercent,confidence,recommendation,weatherAdjustmentPercent,savantAdjustmentPercent,oddsMovementAdjustmentPercent,missingData,gradeNote
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Otto Lopez,MIA,PHI,Aaron Nola,1.5,197.0,1.0,loss,-1.0,54.24,33.67,20.57,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Otto Lopez,MIA,PHI,Aaron Nola,1.5,196.0,1.0,loss,-1.0,54.28,33.78,20.5,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Otto Lopez,MIA,PHI,Aaron Nola,1.5,184.0,1.0,loss,-1.0,54.85,35.21,19.64,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Moisés Ballesteros,CHC,CIN,Chase Petty,1.5,192.0,0.0,loss,-1.0,51.61,34.25,17.36,Medium,Positive edge,-0.49,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Xavier Edwards,MIA,PHI,Aaron Nola,0.5,194.0,1.0,win,1.94,51.38,34.01,17.36,Medium,Positive edge,-0.13,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Brice Turang,MIL,STL,Kyle Leahy,1.5,173.0,3.0,win,1.73,53.98,36.63,17.35,Medium,Positive edge,0.43,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Xavier Edwards,MIA,PHI,Aaron Nola,0.5,191.0,1.0,win,1.91,51.52,34.36,17.15,Medium,Positive edge,-0.13,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Yandy Díaz,TBR,TOR,Eric Lauer,1.5,163.0,0.0,loss,-1.0,55.11,38.02,17.09,Medium-High,Positive edge,,0.8,1.5,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Chandler Simpson,TBR,TOR,Eric Lauer,1.5,162.0,1.0,loss,-1.0,55.17,38.17,17.0,Medium-High,Positive edge,,0.8,1.5,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Seiya Suzuki,CHC,CIN,Chase Petty,0.5,188.0,2.0,win,1.88,51.3,34.72,16.58,Medium,Positive edge,-0.49,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Chandler Simpson,TBR,TOR,Eric Lauer,1.5,156.0,1.0,loss,-1.0,55.53,39.06,16.46,Medium-High,Positive edge,,0.8,1.5,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Junior Caminero,TBR,TOR,Eric Lauer,1.5,199.0,0.0,loss,-1.0,49.62,33.44,16.18,Medium-High,Positive edge,,0.8,0.34,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Alec Burleson,STL,MIL,Chad Patrick,0.5,183.0,0.0,loss,-1.0,51.46,35.34,16.13,Medium,Positive edge,0.43,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Aaron Judge,NYY,BAL,Shane Baz,0.5,196.0,2.0,win,1.96,49.79,33.78,16.01,Medium,Positive edge,-0.12,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Maikel Garcia,KCR,CLE,Tanner Bibee,0.5,178.0,0.0,loss,-1.0,51.83,35.97,15.86,Medium,Positive edge,0.54,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Junior Caminero,TBR,TOR,Eric Lauer,1.5,193.0,0.0,loss,-1.0,49.89,34.13,15.76,Medium-High,Positive edge,,0.8,0.34,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Nico Hoerner,CHC,CIN,Chase Petty,1.5,143.0,1.0,loss,-1.0,56.87,41.15,15.72,Medium,Positive edge,-0.49,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Bobby Witt Jr.,KCR,CLE,Tanner Bibee,1.5,176.0,1.0,loss,-1.0,51.93,36.23,15.7,Medium,Positive edge,0.54,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Jordan Walker,STL,MIL,Chad Patrick,0.5,176.0,1.0,win,1.76,51.82,36.23,15.59,Medium,Positive edge,0.43,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Dansby Swanson,CHC,CIN,Chase Petty,0.5,165.0,0.0,loss,-1.0,53.0,37.74,15.27,Medium,Positive edge,-0.49,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,William Contreras,MIL,STL,Kyle Leahy,1.5,149.0,1.0,loss,-1.0,55.39,40.16,15.23,Medium,Positive edge,0.43,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Bryce Harper,PHI,MIA,Janson Junk,1.5,199.0,3.0,win,1.99,48.65,33.44,15.2,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Chase DeLauter,CLE,KCR,Michael Wacha,0.5,193.0,,ungraded,0.0,49.09,34.13,14.96,Medium,Positive edge,0.54,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,No batter game log found.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Steven Kwan,CLE,KCR,Michael Wacha,1.5,183.0,0.0,loss,-1.0,50.07,35.34,14.74,Medium,Positive edge,0.54,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Bryce Harper,PHI,MIA,Janson Junk,1.5,191.0,3.0,win,1.91,49.02,34.36,14.65,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Vladimir Guerrero Jr.,TOR,TBR,Nick Martinez,1.5,158.0,1.0,loss,-1.0,53.4,38.76,14.64,Medium,Positive edge,,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Cody Bellinger,NYY,BAL,Shane Baz,0.5,177.0,1.0,win,1.77,50.72,36.1,14.62,Medium,Positive edge,-0.12,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Willi Castro,COL,NYM,Huascar Brazobán,0.5,188.0,1.0,win,1.88,49.26,34.72,14.54,Medium-High,Positive edge,-0.53,0.8,,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Troy Johnston,COL,NYM,Huascar Brazobán,0.5,156.0,0.0,loss,-1.0,53.5,39.06,14.43,Medium-High,Positive edge,-0.53,0.8,,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Alex Bregman,CHC,CIN,Chase Petty,0.5,193.0,1.0,win,1.93,48.56,34.13,14.43,Medium,Positive edge,-0.49,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Hunter Goodman,COL,NYM,Huascar Brazobán,1.5,186.0,0.0,loss,-1.0,49.36,34.97,14.39,Medium-High,Positive edge,-0.53,0.8,,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Kyle Stowers,MIA,PHI,Aaron Nola,0.5,187.0,2.0,win,1.87,49.21,34.84,14.36,Medium,Positive edge,-0.13,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Sal Stewart,CIN,CHC,Edward Cabrera,1.5,190.0,1.0,loss,-1.0,48.7,34.48,14.22,Medium,Positive edge,-0.49,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,George Springer,TOR,TBR,Nick Martinez,1.5,193.0,,ungraded,0.0,48.25,34.13,14.12,Medium,Positive edge,,,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,No batter game log found.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Tyler Freeman,COL,NYM,Huascar Brazobán,1.5,180.0,0.0,loss,-1.0,49.66,35.71,13.94,Medium-High,Positive edge,-0.53,0.8,,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Michael Busch,CHC,CIN,Chase Petty,0.5,186.0,0.0,loss,-1.0,48.9,34.97,13.93,Medium,Positive edge,-0.49,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Bryce Harper,PHI,MIA,Janson Junk,1.5,181.0,3.0,win,1.81,49.5,35.59,13.92,Medium,Positive edge,-0.13,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Kyle Stowers,MIA,PHI,Aaron Nola,0.5,181.0,2.0,win,1.81,49.5,35.59,13.92,Medium,Positive edge,-0.13,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Juan Soto,NYM,COL,Tomoyuki Sugano,1.5,167.0,0.0,loss,-1.0,51.35,37.45,13.9,Medium,Positive edge,-0.53,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Elly De La Cruz,CIN,CHC,Edward Cabrera,0.5,187.0,3.0,win,1.87,48.35,34.84,13.5,Medium,Positive edge,-0.49,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Kevin McGonigle,DET,BOS,Payton Tolle,0.5,152.0,,ungraded,0.0,53.17,39.68,13.49,Medium,Positive edge,0.4,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,No batter game log found.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Brandon Marsh,PHI,MIA,Janson Junk,0.5,182.0,1.0,win,1.82,48.95,35.46,13.49,Medium,Positive edge,-0.13,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Mark Vientos,NYM,COL,Tomoyuki Sugano,0.5,194.0,1.0,win,1.94,47.48,34.01,13.46,Medium,Positive edge,-0.53,0.8,1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Brenton Doyle,COL,NYM,Huascar Brazobán,0.5,200.0,0.0,loss,-1.0,46.7,33.33,13.37,Medium-High,Positive edge,-0.53,0.8,,PropLine game moneyline/total context | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Ernie Clement,TOR,TBR,Nick Martinez,0.5,176.0,1.0,win,1.76,49.39,36.23,13.16,Medium,Positive edge,,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
2026-05-04T21:59:25.624015+00:00,2026-05-07T16:29:46.746198+00:00,2026,2026-05-04,batter_hits,Jasson Domínguez,NYY,BAL,Shane Baz,0.5,159.0,1.0,win,1.59,51.72,38.61,13.11,Medium,Positive edge,-0.12,0.8,-1.5,PropLine game moneyline/total context | Batter-vs-pitcher sample | Self-stored odds movement snapshots,Batter hits from game log.
